State,Party,ENP,Avg ENP
Andaman & Nicobar Islands,Andaman & Nicobar Islands,2.46,2.46
Andhra Pradesh,Amalapuram (SC),2.01,2.25
Andhra Pradesh,Anakapalle,2.20,2.25
Andhra Pradesh,Ananthapur,2.24,2.25
Andhra Pradesh,Araku (ST),3.17,2.25
Andhra Pradesh,Bapatla (SC),2.18,2.25
Andhra Pradesh,Chittoor(SC),2.19,2.25
Andhra Pradesh,Eluru,2.18,2.25
Andhra Pradesh,Guntur,1.99,2.25
Andhra Pradesh,Hindupur,2.27,2.25
Andhra Pradesh,Kadapa,2.57,2.25
Andhra Pradesh,Kakinada,2.26,2.25
Andhra Pradesh,Kurnoolu,2.40,2.25
Andhra Pradesh,Machilipatnam,2.21,2.25
Andhra Pradesh,Nandyal,2.34,2.25
Andhra Pradesh,Narsapuram,2.20,2.25
Andhra Pradesh,Narsaraopet,2.09,2.25
Andhra Pradesh,Nellore,2.20,2.25
Andhra Pradesh,Ongole,2.20,2.25
Andhra Pradesh,Rajahmundry,2.29,2.25
Andhra Pradesh,Rajampet,2.39,2.25
Andhra Pradesh,Srikakulam,2.03,2.25
Andhra Pradesh,Thirupathi(SC),2.43,2.25
Andhra Pradesh,Vijayawada,2.08,2.25
Andhra Pradesh,Visakhapatnam,1.95,2.25
Andhra Pradesh,Vizianagaram,2.12,2.25
Arunachal Pradesh,Arunachal East,2.94,2.91
Arunachal Pradesh,Arunachal West,2.89,2.91
Assam,Barpeta,2.46,2.42
Assam,Darrang-Udalguri,2.87,2.42
Assam,Dhubri,2.34,2.42
Assam,Dibrugarh,2.43,2.42
Assam,Diphu,2.86,2.42
Assam,Guwahati,2.10,2.42
Assam,Jorhat,2.07,2.42
Assam,Karimganj,2.28,2.42
Assam,Kaziranga,2.17,2.42
Assam,Kokrajhar,3.39,2.42
Assam,Lakhimpur,2.24,2.42
Assam,Nagaon,2.47,2.42
Assam,Silchar,2.06,2.42
Assam,Sonitpur,2.14,2.42
Bihar,Araria,2.25,2.54
Bihar,Arrah,2.39,2.54
Bihar,Aurangabad,2.43,2.54
Bihar,Banka,2.44,2.54
Bihar,Begusarai,2.25,2.54
Bihar,Bhagalpur,2.38,2.54
Bihar,Buxar,3.08,2.54
Bihar,Darbhanga,2.22,2.54
Bihar,Gaya,2.32,2.54
Bihar,Gopalganj,2.73,2.54
Bihar,Hajipur,2.30,2.54
Bihar,Jahanabad,2.90,2.54
Bihar,Jamui,2.30,2.54
Bihar,Jhanjharpur,2.89,2.54
Bihar,Karakat,3.71,2.54
Bihar,Katihar,2.32,2.54
Bihar,Khagaria,2.59,2.54
Bihar,Kishanganj,3.51,2.54
Bihar,Madhepura,2.32,2.54
Bihar,Madhubani,2.26,2.54
Bihar,Maharajganj,2.22,2.54
Bihar,Munger,2.47,2.54
Bihar,Muzaffarpur,2.32,2.54
Bihar,Nalanda,2.80,2.54
Bihar,Nawada,2.62,2.54
Bihar,Paschim Champaran,2.21,2.54
Bihar,Patliputra,2.31,2.54
Bihar,Patna Sahib,2.16,2.54
Bihar,Purnia,2.31,2.54
Bihar,Purvi Champaran,2.30,2.54
Bihar,Samastipur,2.43,2.54
Bihar,Saran,2.41,2.54
Bihar,Sasaram,2.36,2.54
Bihar,Sheohar,2.59,2.54
Bihar,Sitamarhi,2.47,2.54
Bihar,Siwan,3.59,2.54
Bihar,Supaul,2.81,2.54
Bihar,Ujiarpur,2.29,2.54
Bihar,Vaishali,2.49,2.54
Bihar,Valmiki Nagar,2.65,2.54
Chandigarh,Chandigarh,2.17,2.17
Chhattisgarh,BASTAR,2.70,2.24
Chhattisgarh,BILASPUR,2.21,2.24
Chhattisgarh,DURG,2.01,2.24
Chhattisgarh,JANJGIR-CHAMPA,2.30,2.24
Chhattisgarh,KANKER,2.25,2.24
Chhattisgarh,KORBA,2.48,2.24
Chhattisgarh,MAHASAMUND,2.18,2.24
Chhattisgarh,RAIGARH,2.16,2.24
Chhattisgarh,RAIPUR,1.89,2.24
Chhattisgarh,RAJNANDGAON,2.19,2.24
Chhattisgarh,SURGUJA,2.28,2.24
Dadra & Nagar Haveli and Daman & Diu,Dadar & Nagar Haveli,2.24,2.43
Dadra & Nagar Haveli and Daman & Diu,Daman & Diu,2.62,2.43
Goa,North Goa,2.35,2.31
Goa,South Goa,2.27,2.31
Gujarat,Ahmedabad East,1.85,1.90
Gujarat,Ahmedabad West,1.95,1.90
Gujarat,Amreli,1.90,1.90
Gujarat,Anand,2.10,1.90
Gujarat,Banaskantha,2.19,1.90
Gujarat,Bardoli,2.06,1.90
Gujarat,Bharuch,2.23,1.90
Gujarat,Bhavnagar,1.88,1.90
Gujarat,Chhota Udaipur,2.02,1.90
Gujarat,Dahod,2.08,1.90
Gujarat,Gandhinagar,1.60,1.90
Gujarat,Jamnagar,2.08,1.90
Gujarat,Junagadh,2.10,1.90
Gujarat,Kachchh,2.04,1.90
Gujarat,Kheda,1.96,1.90
Gujarat,Mahesana,1.93,1.90
Gujarat,Navsari,1.58,1.90
Gujarat,Panchmahal,1.79,1.90
Gujarat,Patan,2.14,1.90
Gujarat,Porbandar,1.86,1.90
Gujarat,Rajkot,1.85,1.90
Gujarat,Sabarkantha,2.20,1.90
Gujarat,Surat,0.00,1.90
Gujarat,Surendranagar,2.08,1.90
Gujarat,Vadodara,1.73,1.90
Gujarat,Valsad,2.08,1.90
Haryana,AMBALA,2.21,2.24
Haryana,BHIWANI-MAHENDRAGARH,2.17,2.24
Haryana,FARIDABAD,2.16,2.24
Haryana,GURGAON,2.15,2.24
Haryana,HISAR,2.36,2.24
Haryana,KARNAL,2.25,2.24
Haryana,KURUKSHETRA,2.58,2.24
Haryana,ROHTAK,1.93,2.24
Haryana,SIRSA,2.40,2.24
Haryana,SONIPAT,2.18,2.24
Himachal Pradesh,HAMIRPUR,2.00,2.02
Himachal Pradesh,KANGRA,1.97,2.02
Himachal Pradesh,MANDI,2.05,2.02
Himachal Pradesh,SHIMLA,2.07,2.02
Jammu and Kashmir,ANANTNAG-RAJOURI,3.00,2.73
Jammu and Kashmir,BARAMULLA,3.27,2.73
Jammu and Kashmir,JAMMU,2.18,2.73
Jammu and Kashmir,SRINAGAR,2.84,2.73
Jammu and Kashmir,UDHAMPUR,2.35,2.73
Jharkhand,Chatra,2.58,2.54
Jharkhand,Dhanbad,2.43,2.54
Jharkhand,Dumka,2.43,2.54
Jharkhand,Giridih,3.46,2.54
Jharkhand,Godda,2.35,2.54
Jharkhand,Hazaribagh,2.68,2.54
Jharkhand,Jamshedpur,2.19,2.54
Jharkhand,Khunti,2.23,2.54
Jharkhand,Kodarma,2.34,2.54
Jharkhand,Lohardaga,2.64,2.54
Jharkhand,Palamau,2.33,2.54
Jharkhand,Rajmahal,2.60,2.54
Jharkhand,Ranchi,2.77,2.54
Jharkhand,Singhbhum,2.55,2.54
Karnataka,Bagalkot,2.13,2.09
Karnataka,Bangalore North,2.05,2.09
Karnataka,Bangalore Rural,2.03,2.09
Karnataka,Bangalore South,1.98,2.09
Karnataka,Bangalore central,2.10,2.09
Karnataka,Belgaum,2.08,2.09
Karnataka,Bellary,2.07,2.09
Karnataka,Bidar,2.11,2.09
Karnataka,Bijapur,2.08,2.09
Karnataka,Chamarajanagar,2.13,2.09
Karnataka,Chikkballapur,2.11,2.09
Karnataka,Chikkodi,2.16,2.09
Karnataka,Chitradurga,2.14,2.09
Karnataka,Dakshina Kannada,2.08,2.09
Karnataka,Davanagere,2.26,2.09
Karnataka,Dharwad,2.08,2.09
Karnataka,Gulbarga,2.10,2.09
Karnataka,Hassan,2.16,2.09
Karnataka,Haveri,2.08,2.09
Karnataka,Kolar,2.13,2.09
Karnataka,Koppal,2.15,2.09
Karnataka,Mandya,2.03,2.09
Karnataka,Mysore,2.07,2.09
Karnataka,Raichur,2.11,2.09
Karnataka,Shimoga,2.12,2.09
Karnataka,Tumkur,2.08,2.09
Karnataka,Udupi Chikmagalur,1.99,2.09
Karnataka,Uttara Kannada,1.97,2.09
Kerala,Alappuzha,3.03,2.75
Kerala,Alathur,2.85,2.75
Kerala,Attingal,3.11,2.75
Kerala,Chalakudy,3.15,2.75
Kerala,Ernakulam,2.68,2.75
Kerala,Idukki,2.48,2.75
Kerala,Kannur,2.51,2.75
Kerala,Kasaragod,2.81,2.75
Kerala,Kollam,2.71,2.75
Kerala,Kottayam,2.95,2.75
Kerala,Kozhikode,2.68,2.75
Kerala,Malappuram,2.18,2.75
Kerala,Mavelikkara,2.80,2.75
Kerala,Palakkad,2.98,2.75
Kerala,Pathanamthitta,3.01,2.75
Kerala,Ponnani,2.40,2.75
Kerala,Thiruvananthapuram,3.02,2.75
Kerala,Thrissur,3.04,2.75
Kerala,Vadakara,2.43,2.75
Kerala,Wayanad,2.27,2.75
Ladakh,Ladakh,2.75,2.75
Lakshadweep,Lakshadweep,2.03,2.03
Madhya Pradesh,BALAGHAT,2.39,2.14
Madhya Pradesh,BETUL,2.07,2.14
Madhya Pradesh,BHIND,2.15,2.14
Madhya Pradesh,BHOPAL,1.88,2.14
Madhya Pradesh,CHHINDWARA,2.43,2.14
Madhya Pradesh,DAMOH,1.99,2.14
Madhya Pradesh,DEWAS,1.93,2.14
Madhya Pradesh,DHAR,2.11,2.14
Madhya Pradesh,GUNA,1.89,2.14
Madhya Pradesh,GWALIOR,2.22,2.14
Madhya Pradesh,HOSHANGABAD,1.94,2.14
Madhya Pradesh,INDORE,1.57,2.14
Madhya Pradesh,JABALPUR,1.87,2.14
Madhya Pradesh,KHAJURAHO,1.99,2.14
Madhya Pradesh,KHANDWA,2.09,2.14
Madhya Pradesh,KHARGONE,2.13,2.14
Madhya Pradesh,MANDLA,2.39,2.14
Madhya Pradesh,MANDSOUR,1.88,2.14
Madhya Pradesh,MORENA,2.75,2.14
Madhya Pradesh,RAJGARH,2.15,2.14
Madhya Pradesh,RATLAM,2.39,2.14
Madhya Pradesh,REWA,2.61,2.14
Madhya Pradesh,SAGAR,1.83,2.14
Madhya Pradesh,SATNA,2.90,2.14
Madhya Pradesh,SHAHDOL,2.19,2.14
Madhya Pradesh,SIDHI,2.70,2.14
Madhya Pradesh,TIKAMGARH,1.98,2.14
Madhya Pradesh,UJJAIN,1.94,2.14
